name,owned,id,start_date,end_date,year
Whee Kim,2.82,179,2018-08-31,2018-09-03,2018
Ted Potter,2.46,179,2018-08-31,2018-09-03,2018
Pat Perez,2.16,179,2018-08-31,2018-09-03,2018
Brian Stuard,1.74,179,2018-08-31,2018-09-03,2018
Patton Kizzire,1.74,179,2018-08-31,2018-09-03,2018
Tom Hoge,1.44,179,2018-08-31,2018-09-03,2018
Cameron Smith,1.08,179,2018-08-31,2018-09-03,2018
Brice Garnett,0.96,179,2018-08-31,2018-09-03,2018
Satoshi Kodaira,0.6,179,2018-08-31,2018-09-03,2018
Michael Kim,0.42,179,2018-08-31,2018-09-03,2018
Tony Finau,57.6,180,2018-09-06,2018-09-09,2018
Tommy Fleetwood,39,180,2018-09-06,2018-09-09,2018
Dustin Johnson,38.28,180,2018-09-06,2018-09-09,2018
Justin Rose,37.38,180,2018-09-06,2018-09-09,2018
Justin Thomas,32.58,180,2018-09-06,2018-09-09,2018
Chris Kirk,32.34,180,2018-09-06,2018-09-09,2018
Rickie Fowler,31.38,180,2018-09-06,2018-09-09,2018
Tiger Woods,30.42,180,2018-09-06,2018-09-09,2018
Francesco Molinari,30.24,180,2018-09-06,2018-09-09,2018
Rafael Cabrera-Bello,30,180,2018-09-06,2018-09-09,2018
Brooks Koepka,29.52,180,2018-09-06,2018-09-09,2018
Zach Johnson,28.38,180,2018-09-06,2018-09-09,2018
Jason Day,28.2,180,2018-09-06,2018-09-09,2018
Patrick Cantlay,27.72,180,2018-09-06,2018-09-09,2018
Paul Casey,27.66,180,2018-09-06,2018-09-09,2018
Marc Leishman,27.12,180,2018-09-06,2018-09-09,2018
Webb Simpson,26.58,180,2018-09-06,2018-09-09,2018
Patrick Reed,24.9,180,2018-09-06,2018-09-09,2018
Keith Mitchell,23.28,180,2018-09-06,2018-09-09,2018
Henrik Stenson,22.44,180,2018-09-06,2018-09-09,2018
Jon Rahm,21.72,180,2018-09-06,2018-09-09,2018
Ian Poulter,21.6,180,2018-09-06,2018-09-09,2018
Rory McIlroy,21.06,180,2018-09-06,2018-09-09,2018
Keegan Bradley,19.44,180,2018-09-06,2018-09-09,2018
Brian Gay,19.44,180,2018-09-06,2018-09-09,2018
Tyrrell Hatton,18.54,180,2018-09-06,2018-09-09,2018
Bryson DeChambeau,18.3,180,2018-09-06,2018-09-09,2018
Gary Woodland,18.18,180,2018-09-06,2018-09-09,2018
Xander Schauffele,17.4,180,2018-09-06,2018-09-09,2018
Jordan Spieth,17.4,180,2018-09-06,2018-09-09,2018
Cheng-Tsung Pan,17.34,180,2018-09-06,2018-09-09,2018
Hideki Matsuyama,17.04,180,2018-09-06,2018-09-09,2018
Phil Mickelson,16.86,180,2018-09-06,2018-09-09,2018
Bubba Watson,16.74,180,2018-09-06,2018-09-09,2018
Alexander Noren,15.84,180,2018-09-06,2018-09-09,2018
Billy Horschel,15.3,180,2018-09-06,2018-09-09,2018
Jason Kokrak,15.24,180,2018-09-06,2018-09-09,2018
Byeong-Hun An,15.18,180,2018-09-06,2018-09-09,2018
Emiliano Grillo,14.64,180,2018-09-06,2018-09-09,2018
Kevin Na,13.98,180,2018-09-06,2018-09-09,2018
Adam Scott,12.18,180,2018-09-06,2018-09-09,2018
Kyle Stanley,11.82,180,2018-09-06,2018-09-09,2018
Brandt Snedeker,11.52,180,2018-09-06,2018-09-09,2018
Louis Oosthuizen,10.8,180,2018-09-06,2018-09-09,2018
Luke List,10.74,180,2018-09-06,2018-09-09,2018
Beau Hossler,10.44,180,2018-09-06,2018-09-09,2018
Kevin Kisner,9.96,180,2018-09-06,2018-09-09,2018
Chesson Hadley,9.06,180,2018-09-06,2018-09-09,2018
Aaron Wise,8.52,180,2018-09-06,2018-09-09,2018
Andrew Putnam,8.46,180,2018-09-06,2018-09-09,2018
Adam Hadwin,8.46,180,2018-09-06,2018-09-09,2018
Abraham Ancer,7.56,180,2018-09-06,2018-09-09,2018
Brian Harman,6.96,180,2018-09-06,2018-09-09,2018
Austin Cook,6.54,180,2018-09-06,2018-09-09,2018
Andrew Landry,6.42,180,2018-09-06,2018-09-09,2018
Si Woo Kim,6.36,180,2018-09-06,2018-09-09,2018
Ryan Armour,6,180,2018-09-06,2018-09-09,2018
Ryan Palmer,5.76,180,2018-09-06,2018-09-09,2018
Brendan Steele,5.58,180,2018-09-06,2018-09-09,2018
J.J. Spaun,5.52,180,2018-09-06,2018-09-09,2018
Charles Howell,4.92,180,2018-09-06,2018-09-09,2018
Peter Uihlein,4.5,180,2018-09-06,2018-09-09,2018
Chez Reavie,3.96,180,2018-09-06,2018-09-09,2018
Cameron Smith,3.9,180,2018-09-06,2018-09-09,2018
Pat Perez,3.18,180,2018-09-06,2018-09-09,2018
Scott Piercy,3.18,180,2018-09-06,2018-09-09,2018
Brice Garnett,1.2,180,2018-09-06,2018-09-09,2018
Patton Kizzire,0.9,180,2018-09-06,2018-09-09,2018
Ted Potter,0.66,180,2018-09-06,2018-09-09,2018
Tony Finau,85.9,181,2018-09-20,2018-09-23,2018
Tommy Fleetwood,85.5,181,2018-09-20,2018-09-23,2018
Justin Thomas,75.48,181,2018-09-20,2018-09-23,2018
Rickie Fowler,66.36,181,2018-09-20,2018-09-23,2018
Francesco Molinari,66,181,2018-09-20,2018-09-23,2018
Justin Rose,65.28,181,2018-09-20,2018-09-23,2018
Patrick Cantlay,64.86,181,2018-09-20,2018-09-23,2018
Brooks Koepka,62.82,181,2018-09-20,2018-09-23,2018
Webb Simpson,62.1,181,2018-09-20,2018-09-23,2018
Tiger Woods,62.1,181,2018-09-20,2018-09-23,2018
Dustin Johnson,57.36,181,2018-09-20,2018-09-23,2018
Jason Day,56.94,181,2018-09-20,2018-09-23,2018
Paul Casey,54.18,181,2018-09-20,2018-09-23,2018
Keegan Bradley,49.2,181,2018-09-20,2018-09-23,2018
Jon Rahm,48.9,181,2018-09-20,2018-09-23,2018
Marc Leishman,47.76,181,2018-09-20,2018-09-23,2018
Bryson DeChambeau,46.02,181,2018-09-20,2018-09-23,2018
Rory McIlroy,44.88,181,2018-09-20,2018-09-23,2018
Patrick Reed,43.44,181,2018-09-20,2018-09-23,2018
Xander Schauffele,39.3,181,2018-09-20,2018-09-23,2018
Gary Woodland,37.14,181,2018-09-20,2018-09-23,2018
Hideki Matsuyama,37.14,181,2018-09-20,2018-09-23,2018
Phil Mickelson,36.42,181,2018-09-20,2018-09-23,2018
Kyle Stanley,32.52,181,2018-09-20,2018-09-23,2018
Kevin Na,31.08,181,2018-09-20,2018-09-23,2018
Bubba Watson,28.14,181,2018-09-20,2018-09-23,2018
Billy Horschel,27.6,181,2018-09-20,2018-09-23,2018
Cameron Smith,19.38,181,2018-09-20,2018-09-23,2018
Aaron Wise,14.1,181,2018-09-20,2018-09-23,2018
Patton Kizzire,2.52,181,2018-09-20,2018-09-23,2018
Joaquin Niemann,20.94,182,2018-10-04,2018-10-07,2018
Harold Varner,18.66,182,2018-10-04,2018-10-07,2018
Patrick Cantlay,13.02,182,2018-10-04,2018-10-07,2018
Chris Kirk,12.36,182,2018-10-04,2018-10-07,2018
Ryan Moore,11.1,182,2018-10-04,2018-10-07,2018
Johnson Wagner,9.42,182,2018-10-04,2018-10-07,2018
Joel Dahmen,9.36,182,2018-10-04,2018-10-07,2018
Kevin Tway,8.94,182,2018-10-04,2018-10-07,2018
Cameron Champ,8.64,182,2018-10-04,2018-10-07,2018
Emiliano Grillo,7.08,182,2018-10-04,2018-10-07,2018
Sam Ryder,6.96,182,2018-10-04,2018-10-07,2018
Phil Mickelson,6.78,182,2018-10-04,2018-10-07,2018
Beau Hossler,5.34,182,2018-10-04,2018-10-07,2018
Ollie Schniederjans,5.34,182,2018-10-04,2018-10-07,2018
Russell Henley,5.34,182,2018-10-04,2018-10-07,2018
Luke List,5.1,182,2018-10-04,2018-10-07,2018
Chesson Hadley,5.1,182,2018-10-04,2018-10-07,2018
Tyler Duncan,4.98,182,2018-10-04,2018-10-07,2018
Brandon Harkins,4.68,182,2018-10-04,2018-10-07,2018
Jamie Lovemark,4.68,182,2018-10-04,2018-10-07,2018
Brandt Snedeker,4.62,182,2018-10-04,2018-10-07,2018
Nick Watney,3.6,182,2018-10-04,2018-10-07,2018
Bronson Burgoon,3.6,182,2018-10-04,2018-10-07,2018
J.T. Poston,3.48,182,2018-10-04,2018-10-07,2018
Sam Saunders,3.48,182,2018-10-04,2018-10-07,2018
Mackenzie Hughes,3.3,182,2018-10-04,2018-10-07,2018
Hunter Mahan,3.24,182,2018-10-04,2018-10-07,2018
J.B. Holmes,3.12,182,2018-10-04,2018-10-07,2018
Richy Werenski,3.12,182,2018-10-04,2018-10-07,2018
Corey Conners,3.12,182,2018-10-04,2018-10-07,2018
Brendan Steele,2.88,182,2018-10-04,2018-10-07,2018
Patrick Rodgers,2.88,182,2018-10-04,2018-10-07,2018
Danny Lee,2.76,182,2018-10-04,2018-10-07,2018
Adam Hadwin,2.7,182,2018-10-04,2018-10-07,2018
Jason Dufner,2.7,182,2018-10-04,2018-10-07,2018
Seamus Power,2.58,182,2018-10-04,2018-10-07,2018
Peter Uihlein,2.58,182,2018-10-04,2018-10-07,2018
J.J. Spaun,2.34,182,2018-10-04,2018-10-07,2018
Chez Reavie,2.34,182,2018-10-04,2018-10-07,2018
Bill Haas,2.22,182,2018-10-04,2018-10-07,2018
Chad Campbell,2.16,182,2018-10-04,2018-10-07,2018
Kevin Streelman,1.98,182,2018-10-04,2018-10-07,2018
Jhonattan Vegas,1.98,182,2018-10-04,2018-10-07,2018
Hudson Swafford,1.92,182,2018-10-04,2018-10-07,2018
Martin Laird,1.92,182,2018-10-04,2018-10-07,2018
Grayson Murray,1.86,182,2018-10-04,2018-10-07,2018
Anirban Lahiri,1.74,182,2018-10-04,2018-10-07,2018
Vaughn Taylor,1.68,182,2018-10-04,2018-10-07,2018
Whee Kim,1.68,182,2018-10-04,2018-10-07,2018
Troy Merritt,1.62,182,2018-10-04,2018-10-07,2018
Russell Knox,1.62,182,2018-10-04,2018-10-07,2018
Ben Silverman,1.62,182,2018-10-04,2018-10-07,2018
Ricky Barnes,1.44,182,2018-10-04,2018-10-07,2018
Nick Taylor,1.38,182,2018-10-04,2018-10-07,2018
James Hahn,1.38,182,2018-10-04,2018-10-07,2018
Adam Svensson,1.26,182,2018-10-04,2018-10-07,2018
Kelly Kraft,1.26,182,2018-10-04,2018-10-07,2018
John Huh,1.2,182,2018-10-04,2018-10-07,2018
J.J. Henry,1.08,182,2018-10-04,2018-10-07,2018
Scott Brown,0.96,182,2018-10-04,2018-10-07,2018
Tom Hoge,0.9,182,2018-10-04,2018-10-07,2018
Tyler McCumber,0.9,182,2018-10-04,2018-10-07,2018
Fabian Gomez,0.9,182,2018-10-04,2018-10-07,2018
Maverick McNealy,0.9,182,2018-10-04,2018-10-07,2018
Scott Langley,0.9,182,2018-10-04,2018-10-07,2018
Carlos Ortiz,0.9,182,2018-10-04,2018-10-07,2018
Alex Prugh,0.9,182,2018-10-04,2018-10-07,2018
Sebastian Munoz,0.84,182,2018-10-04,2018-10-07,2018
Kyoung-Hoon Lee,0.84,182,2018-10-04,2018-10-07,2018
Cameron Davis,0.84,182,2018-10-04,2018-10-07,2018
Josh Teater,0.84,182,2018-10-04,2018-10-07,2018
Jim Knous,0.84,182,2018-10-04,2018-10-07,2018
Brandon Hagy,0.84,182,2018-10-04,2018-10-07,2018
Fred Couples,0.84,182,2018-10-04,2018-10-07,2018
John Chin,0.84,182,2018-10-04,2018-10-07,2018
Wes Roach,0.84,182,2018-10-04,2018-10-07,2018
Lucas Glover,0.84,182,2018-10-04,2018-10-07,2018
Cody Gribble,0.84,182,2018-10-04,2018-10-07,2018
Bud Cauley,0.84,182,2018-10-04,2018-10-07,2018
David Hearn,0.84,182,2018-10-04,2018-10-07,2018
Nate Lashley,0.84,182,2018-10-04,2018-10-07,2018
Wesley Bryan,0.84,182,2018-10-04,2018-10-07,2018
Sam Burns,0.84,182,2018-10-04,2018-10-07,2018
Wyndham Clark,0.78,182,2018-10-04,2018-10-07,2018
Joey Garber,0.78,182,2018-10-04,2018-10-07,2018
Jeff Brehaut,0.78,182,2018-10-04,2018-10-07,2018
Max Homa,0.78,182,2018-10-04,2018-10-07,2018
Kramer Hickok,0.78,182,2018-10-04,2018-10-07,2018
Roberto Castro,0.78,182,2018-10-04,2018-10-07,2018
Anders Albertson,0.78,182,2018-10-04,2018-10-07,2018
Curtis Luck,0.78,182,2018-10-04,2018-10-07,2018
Chad Collins,0.78,182,2018-10-04,2018-10-07,2018
Julian Etulain,0.78,182,2018-10-04,2018-10-07,2018
Jim Herman,0.78,182,2018-10-04,2018-10-07,2018
Jon Curran,0.78,182,2018-10-04,2018-10-07,2018
Chase Wright,0.78,182,2018-10-04,2018-10-07,2018
Adam Long,0.78,182,2018-10-04,2018-10-07,2018
Brian Stuard,0.78,182,2018-10-04,2018-10-07,2018
Chris Thompson,0.72,182,2018-10-04,2018-10-07,2018
Jose de Jesus Rodriguez,0.72,182,2018-10-04,2018-10-07,2018
Kyle Jones,0.72,182,2018-10-04,2018-10-07,2018
Martin Trainer,0.72,182,2018-10-04,2018-10-07,2018
Denny McCarthy,0.72,182,2018-10-04,2018-10-07,2018
Chris Stroud,0.72,182,2018-10-04,2018-10-07,2018
Andrew Landry,0.72,182,2018-10-04,2018-10-07,2018
Ryan Blaum,0.72,182,2018-10-04,2018-10-07,2018
Brady Schnell,0.66,182,2018-10-04,2018-10-07,2018
Ben Crane,0.66,182,2018-10-04,2018-10-07,2018
